borehole_id,depth,dip_direction,dip,set_id
BH-001,154.0,42.9,63.3,1
BH-001,149.1,270.9,26.3,3
BH-001,51.5,53.3,65.2,1
BH-001,39.6,277.3,26.7,3
BH-001,64.9,48.2,58.8,1
BH-001,32.8,136.7,79.2,2
BH-001,30.4,138.2,68.8,2
BH-001,139.0,38.9,57.4,1
BH-001,160.2,139.6,71.0,2
BH-002,22.7,47.4,58.5,1
BH-002,74.9,272.7,34.0,3
BH-002,46.0,41.5,59.3,1
BH-002,95.7,129.6,75.3,2
BH-002,64.9,147.6,80.6,2
BH-002,120.0,37.7,58.2,1
BH-002,7.6,276.0,27.8,3
BH-002,38.3,44.2,56.8,1
BH-002,129.1,281.1,28.4,3
BH-002,65.9,44.5,54.7,1
BH-002,69.9,145.6,71.1,2
BH-002,121.8,284.5,26.5,3
BH-002,90.0,271.7,35.2,3
BH-003,29.9,48.9,61.3,1
BH-003,31.6,38.1,59.3,1
BH-003,14.6,46.2,58.3,1
BH-003,122.8,135.8,76.1,2
BH-003,92.3,135.0,72.8,2
BH-003,36.4,149.1,81.3,2
BH-003,103.8,46.9,57.7,1
BH-003,95.6,39.4,63.6,1
BH-004,109.5,36.3,62.8,1
BH-004,107.0,39.4,58.6,1
BH-004,77.6,133.5,74.7,2
BH-004,65.6,270.8,34.4,3
BH-004,48.5,270.9,30.9,3
BH-004,20.8,126.2,76.0,2
BH-004,46.5,139.3,74.0,2
BH-004,47.9,39.7,59.0,1
BH-005,181.9,278.7,33.5,3
BH-005,168.8,137.2,77.5,2
BH-005,107.8,135.3,72.9,2
BH-005,44.1,48.9,59.4,1
BH-005,123.6,273.8,35.5,3
BH-005,185.6,134.7,71.5,2
BH-005,159.6,52.6,61.9,1
BH-005,187.6,270.2,26.4,3
BH-005,23.3,271.6,33.5,3
BH-005,94.9,46.5,60.2,1
BH-005,159.3,143.1,68.8,2
BH-005,28.1,37.1,64.4,1
