borehole_id,depth,azimuth,dip
BH-001,0.0,0.2,-90.3
BH-001,10.0,0.4,-89.7
BH-001,20.0,-1.0,-90.4
BH-001,30.0,0.1,-90.1
BH-001,40.0,-0.0,-90.3
BH-001,50.0,0.4,-89.8
BH-001,60.0,0.0,-89.7
BH-001,70.0,0.2,-90.3
BH-001,80.0,0.2,-90.3
BH-001,90.0,0.4,-90.0
BH-001,100.0,-0.1,-90.2
BH-001,110.0,0.6,-90.0
BH-001,120.0,-0.2,-90.1
BH-001,130.0,0.3,-89.9
BH-001,140.0,0.2,-89.9
BH-001,150.0,1.1,-90.1
BH-001,160.0,-0.3,-90.2
BH-001,170.0,0.3,-89.7
BH-001,180.0,-0.1,-90.3
BH-001,190.0,-0.4,-89.8
BH-001,200.0,0.4,-89.8
BH-002,0.0,44.7,-59.9
BH-002,10.0,45.1,-59.9
BH-002,20.0,45.4,-59.9
BH-002,30.0,45.3,-60.0
BH-002,40.0,45.1,-59.8
BH-002,50.0,44.3,-60.1
BH-002,60.0,44.8,-60.2
BH-002,70.0,44.9,-59.6
BH-002,80.0,44.6,-59.7
BH-002,90.0,44.2,-60.1
BH-002,100.0,45.1,-59.8
BH-002,110.0,45.4,-59.8
BH-002,120.0,44.8,-60.1
BH-002,130.0,45.4,-60.1
BH-002,140.0,44.4,-60.3
BH-002,150.0,44.5,-59.9
BH-003,0.0,135.1,-74.8
BH-003,10.0,134.8,-75.0
BH-003,20.0,135.3,-75.1
BH-003,30.0,135.2,-75.2
BH-003,40.0,134.8,-75.1
BH-003,50.0,134.4,-74.9
BH-003,60.0,134.8,-75.0
BH-003,70.0,135.2,-74.9
BH-003,80.0,135.3,-75.0
BH-003,90.0,134.8,-75.0
BH-003,100.0,134.2,-75.4
BH-003,110.0,134.3,-75.3
BH-003,120.0,135.2,-75.3
BH-003,130.0,134.8,-74.6
BH-003,140.0,134.8,-74.8
BH-003,150.0,134.5,-75.1
BH-003,160.0,134.5,-75.1
BH-003,170.0,135.4,-75.5
BH-003,180.0,135.2,-74.9
BH-004,0.0,224.7,-50.4
BH-004,10.0,225.0,-50.2
BH-004,20.0,225.1,-50.0
BH-004,30.0,225.8,-50.1
BH-004,40.0,224.5,-49.9
BH-004,50.0,225.1,-49.6
BH-004,60.0,225.4,-49.9
BH-004,70.0,225.7,-50.4
BH-004,80.0,224.7,-50.3
BH-004,90.0,224.8,-50.4
BH-004,100.0,225.3,-50.1
BH-004,110.0,224.3,-50.3
BH-004,120.0,225.2,-49.7
BH-005,0.0,1.0,-89.1
BH-005,10.0,0.2,-90.3
BH-005,20.0,-1.1,-89.9
BH-005,30.0,-0.4,-90.1
BH-005,40.0,-0.3,-90.0
BH-005,50.0,0.5,-90.0
BH-005,60.0,-0.1,-90.3
BH-005,70.0,-0.8,-90.1
BH-005,80.0,-0.0,-89.5
BH-005,90.0,0.1,-89.7
BH-005,100.0,-0.2,-90.4
BH-005,110.0,-0.5,-90.2
BH-005,120.0,1.1,-90.2
BH-005,130.0,0.4,-90.3
BH-005,140.0,0.5,-89.9
BH-005,150.0,-0.1,-90.0
BH-005,160.0,-0.3,-89.9
BH-005,170.0,-0.2,-90.4
BH-005,180.0,-0.6,-89.9
BH-005,190.0,0.8,-90.0
BH-005,200.0,-0.1,-89.9
