hole_id,depth,dip_direction,dip,set_id
BH-01,26.7,57.9,63.7,1
BH-01,107.8,53.8,59.9,1
BH-01,32.0,56.4,57.5,1
BH-01,42.9,41.0,69.6,1
BH-01,104.4,162.7,75.8,2
BH-01,142.2,140.8,73.7,2
BH-01,90.6,310.5,88.8,2
BH-01,12.6,270.1,36.1,3
BH-01,91.3,301.3,69.0,3
BH-01,10.9,359.0,30.0,3
BH-02,173.0,35.6,56.4,1
BH-02,139.8,63.9,75.8,1
BH-02,37.9,50.4,68.0,1
BH-02,22.4,41.5,80.2,1
BH-02,39.9,114.8,70.3,2
BH-02,191.2,136.7,64.8,2
BH-02,92.1,326.8,89.3,2
BH-02,154.0,263.8,30.3,3
BH-02,125.9,269.2,31.3,3
BH-02,113.8,283.4,31.9,3
BH-03,29.7,55.6,76.3,1
BH-03,165.8,60.9,53.2,1
BH-03,56.2,56.1,45.3,1
BH-03,103.3,26.8,62.7,1
BH-03,124.0,139.0,85.2,2
BH-03,115.4,141.8,76.1,2
BH-03,164.9,304.7,79.9,2
BH-03,30.2,310.8,23.9,3
BH-03,91.4,277.5,37.5,3
BH-03,73.7,278.0,31.6,3
BH-04,73.8,45.4,65.6,1
BH-04,22.3,41.9,63.8,1
BH-04,24.4,40.2,58.4,1
BH-04,45.3,39.2,57.3,1
BH-04,49.2,125.4,68.3,2
BH-04,67.0,141.2,61.6,2
BH-04,93.6,302.9,88.9,2
BH-04,97.0,264.4,48.5,3
BH-04,64.7,275.9,34.6,3
BH-04,64.3,297.1,38.9,3
BH-05,44.2,48.7,78.6,1
BH-05,110.9,27.9,69.9,1
BH-05,62.1,71.1,44.8,1
BH-05,11.5,41.4,46.3,1
BH-05,80.3,142.8,66.6,2
BH-05,90.3,144.7,59.0,2
BH-05,45.6,134.1,69.3,2
BH-05,108.0,251.1,49.2,3
BH-05,106.8,278.3,39.8,3
BH-05,131.4,283.0,36.3,3
BH-06,131.3,50.7,46.2,1
BH-06,132.2,49.6,72.9,1
BH-06,66.7,52.5,69.6,1
BH-06,158.5,28.1,69.2,1
BH-06,112.1,151.9,75.3,2
BH-06,89.1,119.9,69.8,2
BH-06,127.1,134.1,76.6,2
BH-06,75.3,1.0,30.0,3
BH-06,105.0,285.2,36.5,3
BH-06,148.7,270.1,36.1,3
BH-07,151.3,47.0,72.1,1
BH-07,157.0,57.9,63.7,1
BH-07,88.1,53.8,59.9,1
BH-07,90.8,56.4,57.5,1
BH-07,137.0,325.2,86.0,2
BH-07,56.9,129.8,86.6,2
BH-07,143.2,162.7,75.8,2
BH-07,86.5,301.3,69.0,3
BH-07,24.1,359.0,30.0,3
BH-07,16.9,263.8,30.3,3
BH-08,131.3,41.0,69.6,1
BH-08,13.3,35.6,56.4,1
BH-08,47.1,63.9,75.8,1
BH-08,55.1,50.4,68.0,1
BH-08,30.9,140.8,73.7,2
BH-08,52.1,310.5,88.8,2
BH-08,116.4,114.8,70.3,2
BH-08,7.2,269.2,31.3,3
BH-08,129.1,283.4,31.9,3
BH-08,133.5,310.8,23.9,3
BH-01,9999,45,60,1
BH-02,50,45,999,1
BH-03,50,45,60,not_a_number
