hole_id,from_depth,to_depth,rqd
BH-01,0,50,73.0
BH-01,50,100,56.1
BH-01,100,150,67.0
BH-02,0,50,64.2
BH-02,50,100,64.6
BH-02,100,200,83.1
BH-03,0,50,94.8
BH-03,50,100,80.9
BH-03,100,180,54.0
BH-04,0,50,84.1
BH-04,50,100,78.2
BH-04,100,155,57.5
BH-05,0,50,82.4
BH-05,50,100,50.4
BH-05,100,190,49.4
BH-06,0,50,78.4
BH-06,50,100,56.6
BH-06,100,205,47.5
BH-07,0,50,89.3
BH-07,50,100,89.6
BH-07,100,175,65.0
BH-08,0,50,89.4
BH-08,50,100,89.6
BH-08,100,160,46.4
BH-01,90,150,75
BH-02,50,100,150
BH-03,100,50,80
