hole_id,measured_depth,azimuth,dip
BH-01,0,-0.74,-90.05
BH-01,10,-0.26,-89.57
BH-01,20,0.29,-89.68
BH-01,30,-0.11,-90.27
BH-01,40,0.11,-90.44
BH-01,50,0.66,-89.87
BH-01,60,0.52,-90.15
BH-01,70,0.94,-89.61
BH-01,80,0.56,-90.31
BH-01,90,-0.07,-90.46
BH-01,100,-0.69,-89.82
BH-01,110,0.49,-89.53
BH-01,120,-0.35,-90.13
BH-01,130,-0.06,-90.31
BH-01,140,-0.74,-90.02
BH-01,150,-0.55,-89.83
BH-02,0,-0.13,-89.67
BH-02,10,0.40,-90.19
BH-02,20,0.66,-89.70
BH-02,30,-0.23,-90.21
BH-02,40,0.36,-90.36
BH-02,50,-0.60,-90.49
BH-02,60,0.57,-89.84
BH-02,70,0.41,-89.72
BH-02,80,-0.08,-89.93
BH-02,90,-0.72,-90.39
BH-02,100,0.34,-90.03
BH-02,110,0.13,-89.74
BH-02,120,0.27,-89.95
BH-02,130,0.12,-90.20
BH-02,140,-0.94,-90.06
BH-02,150,-0.57,-90.09
BH-02,160,0.71,-90.27
BH-02,170,-0.88,-90.22
BH-02,180,-0.41,-89.84
BH-02,190,0.11,-89.72
BH-02,200,0.33,-90.09
BH-03,0,0.63,-90.33
BH-03,10,-0.95,-90.41
BH-03,20,0.44,-90.04
BH-03,30,-0.68,-90.00
BH-03,40,-0.70,-89.80
BH-03,50,-0.11,-90.12
BH-03,60,-0.40,-89.87
BH-03,70,-0.28,-90.41
BH-03,80,-0.76,-89.54
BH-03,90,0.82,-89.80
BH-03,100,-0.47,-89.53
BH-03,110,0.56,-89.78
BH-03,120,-0.10,-90.23
BH-03,130,-0.81,-89.60
BH-03,140,-0.09,-90.30
BH-03,150,-0.39,-89.92
BH-03,160,-0.65,-89.64
BH-03,170,0.52,-89.78
BH-03,180,-0.14,-89.87
BH-04,0,0.17,-89.85
BH-04,10,-0.83,-90.08
BH-04,20,-0.92,-90.01
BH-04,30,-0.34,-90.36
BH-04,40,-0.79,-89.91
BH-04,50,-0.66,-89.57
BH-04,60,0.16,-90.15
BH-04,70,0.18,-90.48
BH-04,80,0.92,-90.02
BH-04,90,0.57,-90.42
BH-04,100,-0.03,-90.01
BH-04,110,0.88,-89.93
BH-04,120,-0.05,-90.23
BH-04,130,-0.34,-89.98
BH-04,140,-0.12,-90.48
BH-04,150,0.65,-89.60
BH-04,160,-0.72,-89.95
BH-05,0,-0.78,-89.83
BH-05,10,-0.44,-89.84
BH-05,20,0.45,-89.73
BH-05,30,-0.78,-89.58
BH-05,40,-0.54,-90.46
BH-05,50,0.11,-90.13
BH-05,60,0.66,-89.69
BH-05,70,-0.37,-89.55
BH-05,80,-0.42,-89.98
BH-05,90,-0.49,-89.56
BH-05,100,-0.67,-90.46
BH-05,110,-0.13,-89.51
BH-05,120,0.78,-89.75
BH-05,130,0.78,-89.61
BH-05,140,0.04,-90.18
BH-05,150,0.54,-89.84
BH-05,160,-0.25,-90.41
BH-05,170,0.49,-90.24
BH-05,180,0.87,-90.26
BH-05,190,-0.75,-89.67
BH-06,0,-0.69,-90.32
BH-06,10,0.20,-89.63
BH-06,20,-0.61,-90.19
BH-06,30,0.55,-89.53
BH-06,40,0.00,-90.36
BH-06,50,-0.97,-90.27
BH-06,60,-0.74,-89.82
BH-06,70,-0.76,-89.99
BH-06,80,0.39,-89.92
BH-06,90,-0.60,-89.70
BH-06,100,0.43,-89.76
BH-06,110,-0.74,-90.38
BH-06,120,0.86,-90.10
BH-06,130,-0.40,-90.01
BH-06,140,0.33,-89.54
BH-06,150,-0.43,-89.58
BH-06,160,-0.95,-89.94
BH-06,170,0.27,-90.39
BH-06,180,-0.72,-90.08
BH-06,190,0.93,-89.90
BH-06,200,0.87,-89.70
BH-06,210,-0.07,-89.72
BH-07,0,-0.96,-90.39
BH-07,10,0.66,-89.70
BH-07,20,-0.53,-89.97
BH-07,30,0.21,-89.63
BH-07,40,0.21,-90.09
BH-07,50,-0.25,-90.07
BH-07,60,0.30,-89.63
BH-07,70,-0.09,-90.25
BH-07,80,-0.53,-89.75
BH-07,90,0.63,-90.39
BH-07,100,-0.87,-89.91
BH-07,110,-0.71,-89.68
BH-07,120,-0.38,-90.36
BH-07,130,0.84,-90.33
BH-07,140,-0.43,-90.35
BH-07,150,-0.77,-90.48
BH-07,160,-0.89,-90.33
BH-07,170,-0.89,-89.91
BH-07,180,0.36,-90.11
BH-08,0,-0.36,-90.00
BH-08,10,0.75,-89.65
BH-08,20,-0.91,-90.32
BH-08,30,-0.53,-90.25
BH-08,40,0.14,-90.08
BH-08,50,-0.90,-90.13
BH-08,60,0.05,-90.40
BH-08,70,0.67,-90.45
BH-08,80,0.85,-90.40
BH-08,90,0.69,-89.60
BH-08,100,0.96,-89.70
BH-08,110,0.56,-89.86
BH-08,120,0.56,-90.37
BH-08,130,0.07,-89.99
BH-08,140,0.72,-90.04
BH-08,150,-0.23,-89.86
BH-08,160,-0.47,-90.36
BH-01,999,0,-90
BH-01,10,0,-90
