borehole_id,measured_depth,dip_direction,dip,aperture,filling,fracture_type,confidence
BH-001,15.2,45.0,60.0,1.2,calcite,joint,1.0
BH-001,30.5,50.0,55.0,0.8,,joint,1.0
BH-001,42.0,40.0,65.0,2.5,clay,joint,0.8
BH-002,22.0,135.0,70.0,0.5,,joint,1.0
BH-002,45.0,140.0,65.0,1.0,calcite,joint,1.0
BH-002,68.0,130.0,60.0,0.3,,vein,0.7
BH-003,18.0,90.0,45.0,1.5,,joint,0.9
BH-003,35.0,85.0,50.0,0.6,calcite,joint,1.0
BH-003,55.0,95.0,40.0,3.0,gouge,fault,1.0
BH-004,10.0,180.0,55.0,0.8,,joint,1.0
BH-004,28.0,175.0,60.0,1.2,calcite,joint,1.0
BH-005,20.0,270.0,50.0,0.5,,joint,1.0
BH-005,40.0,265.0,45.0,1.8,clay,joint,0.8
BH-005,60.0,275.0,55.0,0.4,,joint,1.0
